-10.00, 0.5440
-9.95, 0.5014
-9.90, 0.4575
-9.85, 0.4125
-9.80, 0.3665
-9.75, 0.3195
-9.70, 0.2718
-9.65, 0.2233
-9.60, 0.1743
-9.55, 0.1249
-9.50, 0.0752
-9.45, 0.0252
-9.40, -0.0248
-9.35, -0.0747
-9.30, -0.1245
-9.25, -0.1739
-9.20, -0.2229
-9.15, -0.2713
-9.10, -0.3191
-9.05, -0.3661
-9.00, -0.4121
-8.95, -0.4571
-8.90, -0.5010
-8.85, -0.5436
-8.80, -0.5849
-8.75, -0.6247
-8.70, -0.6630
-8.65, -0.6996
-8.60, -0.7344
-8.55, -0.7674
-8.50, -0.7985
-8.45, -0.8276
-8.40, -0.8546
-8.35, -0.8795
-8.30, -0.9022
-8.25, -0.9226
-8.20, -0.9407
-8.15, -0.9565
-8.10, -0.9699
-8.05, -0.9808
-8.00, -0.9894
-7.95, -0.9954
-7.90, -0.9989
-7.85, -1.0000
-7.80, -0.9985
-7.75, -0.9946
-7.70, -0.9882
-7.65, -0.9793
-7.60, -0.9679
-7.55, -0.9542
-7.50, -0.9380
-7.45, -0.9195
-7.40, -0.8987
-7.35, -0.8757
-7.30, -0.8504
-7.25, -0.8231
-7.20, -0.7937
-7.15, -0.7623
-7.10, -0.7290
-7.05, -0.6938
-7.00, -0.6570
-6.95, -0.6185
-6.90, -0.5784
-6.85, -0.5369
-6.80, -0.4941
-6.75, -0.4500
-6.70, -0.4048
-6.65, -0.3586
-6.60, -0.3115
-6.55, -0.2637
-6.50, -0.2151
-6.45, -0.1660
-6.40, -0.1165
-6.35, -0.0668
-6.30, -0.0168
-6.25, 0.0332
-6.20, 0.0831
-6.15, 0.1328
-6.10, 0.1822
-6.05, 0.2311
-6.00, 0.2794
-5.95, 0.3271
-5.90, 0.3739
-5.85, 0.4198
-5.80, 0.4646
-5.75, 0.5083
-5.70, 0.5507
-5.65, 0.5917
-5.60, 0.6313
-5.55, 0.6692
-5.50, 0.7055
-5.45, 0.7401
-5.40, 0.7728
-5.35, 0.8035
-5.30, 0.8323
-5.25, 0.8589
-5.20, 0.8835
-5.15, 0.9058
-5.10, 0.9258
-5.05, 0.9435
-5.00, 0.9589
-4.95, 0.9719
-4.90, 0.9825
-4.85, 0.9905
-4.80, 0.9962
-4.75, 0.9993
-4.70, 0.9999
-4.65, 0.9981
-4.60, 0.9937
-4.55, 0.9868
-4.50, 0.9775
-4.45, 0.9658
-4.40, 0.9516
-4.35, 0.9351
-4.30, 0.9162
-4.25, 0.8950
-4.20, 0.8716
-4.15, 0.8460
-4.10, 0.8183
-4.05, 0.7885
-4.00, 0.7568
-3.95, 0.7232
-3.90, 0.6878
-3.85, 0.6506
-3.80, 0.6119
-3.75, 0.5716
-3.70, 0.5298
-3.65, 0.4868
-3.60, 0.4425
-3.55, 0.3971
-3.50, 0.3508
-3.45, 0.3035
-3.40, 0.2555
